,recall_anomaly,precision_anomaly,recall_changePoint,precision_changePoint
0,97.82608695652173,59.21052631578947,0.0,0.0
1,95.65217391304348,100.0,94.73684210526316,100.0
2,97.82608695652173,100.0,84.21052631578948,100.0
3,97.82608695652173,100.0,89.47368421052632,100.0
4,97.82608695652173,100.0,94.73684210526316,100.0
5,56.52173913043478,100.0,100.0,100.0
6,58.69565217391305,100.0,84.21052631578948,100.0
7,58.69565217391305,100.0,89.47368421052632,100.0
8,58.69565217391305,100.0,94.73684210526316,100.0
9,58.69565217391305,100.0,100.0,100.0
10,100.0,100.0,100.0,100.0
