,recall_anomaly,precision_anomaly,recall_changePoint,precision_changePoint
0,100.0,81.48148148148148,5.128205128205129,100.0
1,22.727272727272727,50.0,10.256410256410257,100.0
2,22.727272727272727,100.0,12.820512820512821,100.0
3,22.727272727272727,100.0,15.384615384615385,100.0
4,22.727272727272727,100.0,17.94871794871795,100.0
5,22.727272727272727,100.0,20.512820512820515,100.0
6,22.727272727272727,100.0,23.076923076923077,100.0
7,22.727272727272727,100.0,25.641025641025642,100.0
8,22.727272727272727,100.0,28.205128205128204,100.0
9,22.727272727272727,100.0,30.76923076923077,100.0
10,22.727272727272727,100.0,33.333333333333336,100.0
11,22.727272727272727,100.0,35.8974358974359,100.0
12,22.727272727272727,100.0,38.46153846153846,100.0
13,22.727272727272727,100.0,41.02564102564103,100.0
14,22.727272727272727,100.0,43.58974358974359,100.0
15,22.727272727272727,100.0,46.15384615384615,100.0
16,22.727272727272727,100.0,48.717948717948715,100.0
17,22.727272727272727,100.0,51.282051282051285,100.0
18,22.727272727272727,100.0,53.84615384615385,100.0
19,22.727272727272727,100.0,56.41025641025641,100.0
20,22.727272727272727,100.0,58.97435897435897,100.0
21,22.727272727272727,100.0,61.53846153846154,100.0
22,22.727272727272727,100.0,64.1025641025641,100.0
23,22.727272727272727,100.0,66.66666666666667,100.0
24,22.727272727272727,100.0,69.23076923076923,100.0
25,22.727272727272727,100.0,71.7948717948718,100.0
26,22.727272727272727,100.0,74.35897435897436,100.0
27,22.727272727272727,100.0,76.92307692307692,100.0
28,22.727272727272727,100.0,79.48717948717949,100.0
29,22.727272727272727,100.0,82.05128205128206,100.0
30,22.727272727272727,100.0,84.61538461538461,100.0
31,22.727272727272727,100.0,87.17948717948718,100.0
32,22.727272727272727,100.0,89.74358974358974,100.0
33,22.727272727272727,100.0,92.3076923076923,100.0
34,22.727272727272727,100.0,94.87179487179488,100.0
35,22.727272727272727,100.0,97.43589743589743,100.0
36,22.727272727272727,100.0,100.0,100.0
37,54.54545454545455,100.0,97.43589743589743,100.0
38,100.0,100.0,97.43589743589743,100.0
39,100.0,100.0,100.0,100.0
